		Reference						AMP=0
Sequence	QP	SAD	SATD	SSE	Transf	Half	Quarter	SAD	SATD	SSE	Transf	Half	Quarter
BQMall	22	N/A	N/A	N/A	N/A	N/A	N/A	2682743.50	755643.00	20417.00	165114.00	38220.00	38220.00	
BQMall	22	N/A	N/A	N/A	N/A	N/A	N/A	10978891.50	2978787.00	324158.00	1098972.00	152880.00	152880.00	
BQMall	22	N/A	N/A	N/A	N/A	N/A	N/A	42349852.00	11748548.00	1611176.00	4351984.00	611520.00	611520.00	
BQMall	22	N/A	N/A	N/A	N/A	N/A	N/A	93973390.50	61493588.00	6138365.00	14659311.00	1630720.00	1630720.00	
BQMall	27	N/A	N/A	N/A	N/A	N/A	N/A	2707818.50	745178.00	18997.00	134229.00	38220.00	38220.00	
BQMall	27	N/A	N/A	N/A	N/A	N/A	N/A	10872776.00	2941687.00	275078.00	900233.00	152880.00	152880.00	
BQMall	27	N/A	N/A	N/A	N/A	N/A	N/A	41529479.50	11602318.00	1352723.00	3502507.00	611520.00	611520.00	
BQMall	27	N/A	N/A	N/A	N/A	N/A	N/A	88557865.50	56128291.00	5106341.00	11750863.00	1630720.00	1630720.00	
BQMall	32	N/A	N/A	N/A	N/A	N/A	N/A	2690313.00	738738.00	17997.00	112418.00	38220.00	38220.00	
BQMall	32	N/A	N/A	N/A	N/A	N/A	N/A	10713773.00	2912042.00	240154.00	769167.00	152880.00	152880.00	
BQMall	32	N/A	N/A	N/A	N/A	N/A	N/A	40722208.00	11506103.00	1179052.00	2968889.00	611520.00	611520.00	
BQMall	32	N/A	N/A	N/A	N/A	N/A	N/A	84070385.50	53116678.00	4478624.00	10145613.00	1630720.00	1630720.00	
BQMall	37	N/A	N/A	N/A	N/A	N/A	N/A	2742844.50	733278.00	17275.00	98215.00	38220.00	38220.00	
BQMall	37	N/A	N/A	N/A	N/A	N/A	N/A	10774968.50	2888277.00	215676.00	687466.00	152880.00	152880.00	
BQMall	37	N/A	N/A	N/A	N/A	N/A	N/A	39971200.00	11456298.00	1072688.00	2654469.00	611520.00	611520.00	
BQMall	37	N/A	N/A	N/A	N/A	N/A	N/A	79871875.50	51569575.00	4116031.00	9326381.00	1630720.00	1630720.00	
